scenario,month,Vulnerability (average effect),Vulnerability (average effect)_lo,Vulnerability (average effect)_hi,Protection risk (average effect),Protection risk (average effect)_lo,Protection risk (average effect)_hi,Basic needs gap (average effect),Basic needs gap (average effect)_lo,Basic needs gap (average effect)_hi,Education access (average effect),Education access (average effect)_lo,Education access (average effect)_hi,Morbidity (average effect),Morbidity (average effect)_lo,Morbidity (average effect)_hi,Service efficiency (average effect),Service efficiency (average effect)_lo,Service efficiency (average effect)_hi
Equal,11,0.5087461233292871,0.5082428758729255,0.5094651905591346,0.5121851834883235,0.5118947160636327,0.5126270141066674,0.4916401935081085,0.49115499121600426,0.4922359353467979,0.4289195143819061,0.4282188686503389,0.42965094902772033,0.48556354363390347,0.48488324261594834,0.4861710936300379,0.4226432157053819,0.422119593976855,0.4231545891238014
Equal,12,0.5136829978869464,0.5131916435823862,0.5143901252856421,0.5180884601398735,0.5177177735083305,0.5186585106253643,0.4955737500904931,0.49506116945096523,0.49612762329128374,0.4269827520208909,0.42622388702721453,0.42772507361431317,0.4885546998957797,0.48776940277815706,0.4892403914185317,0.4206896094015303,0.42020622115791884,0.42112323703588717
Gap-Closing,0,0.45413930969986077,0.4541393096998609,0.4541393096998609,0.44665318244415764,0.44665318244415764,0.44665318244415764,0.44785200362117716,0.4478520036211772,0.4478520036211772,0.4505449397667346,0.45054493976673454,0.45054493976673454,0.4527179598584697,0.45271795985846963,0.45271795985846963,0.44421819971422105,0.44421819971422094,0.44421819971422094
Gap-Closing,1,0.45906455143223796,0.4588479504125769,0.45918671507967596,0.45263506897931444,0.4524554700851292,0.4527554100148994,0.4514195780210863,0.4512870976522664,0.45157202202650404,0.448689034862127,0.4485014075944056,0.44882816032105644,0.4556239275074871,0.45551602420902815,0.4557728110775416,0.4428759964736969,0.44270371664143837,0.4430112486844817
Gap-Closing,2,0.4651137839645658,0.46486775227394583,0.46524254931325515,0.4593196867204784,0.4591811955334941,0.4595105304441461,0.45517986056762005,0.45494564683187555,0.45534620052510766,0.44685195294988117,0.44664697447893514,0.44710661837615545,0.45852515403358585,0.45831039892913994,0.4587499037871392,0.4415007989177118,0.4413225980029573,0.44175461699492247
Gap-Closing,3,0.47113331789262436,0.4708966187258495,0.47139514345492656,0.4659957359766375,0.4656714794914083,0.4662694259645302,0.45888301939001613,0.45858193021917787,0.4591690939346643,0.44498342652105294,0.4447594396206993,0.4452471063556902,0.46140416515396543,0.46107369142580795,0.4617113298944732,0.44011169146871343,0.4398463478108247,0.44047499571583015
Gap-Closing,4,0.477188496472842,0.4769929751548223,0.4774068106744861,0.4726706500811312,0.47235662056913225,0.47303186466860914,0.46261573524257205,0.4622640006585082,0.46286468975433626,0.4431812178362839,0.4427563558225643,0.4435228223766194,0.464309728390206,0.4639194968453246,0.4645970857088878,0.4387767738437186,0.4384988272417449,0.43919816257030153
Gap-Closing,5,0.4832229032800133,0.482960277319428,0.48339776801384804,0.47927865229730626,0.47884524914721516,0.4798068360923211,0.4663598463834221,0.46605949120684176,0.46670529465993643,0.4413391588352633,0.4409263282937238,0.441686317536337,0.4672397352700008,0.466862585936296,0.46764843891920665,0.43737351018677184,0.4371213285105422,0.4377244687929074
Gap-Closing,6,0.4892247712747153,0.48894687156862005,0.489514002931799,0.4859073078708289,0.48558066038389214,0.486390896603816,0.47013691494269905,0.469747185686445,0.47055115335110426,0.4394909197211776,0.43908890708185205,0.4398609280907372,0.47013449069477575,0.4697854703295057,0.47043736001494774,0.43601970770645104,0.43573588572916044,0.43634703048444534
Gap-Closing,7,0.4951804534580222,0.49483229186779687,0.49549335729631594,0.4925618737315812,0.49226581785230983,0.49296750685871166,0.47386866439603803,0.4735511373622889,0.47429658552717185,0.4376597255903004,0.4372709493220111,0.43807871538862536,0.4729830111290559,0.4725580738711832,0.47337253939399887,0.4346531657484336,0.4342981732517135,0.4350745033213894
Gap-Closing,8,0.5011771334458246,0.5008017501102504,0.5014855931380544,0.49921181426802025,0.4988276826226456,0.499493606793265,0.4775960233528765,0.47723196102940907,0.4779482040994879,0.43583168511962994,0.43533145479877483,0.43627140032764744,0.47587558169617505,0.47545080311095234,0.4762056570335624,0.4333095836420978,0.43293006412731666,0.4338040261619478
Gap-Closing,9,0.507186403680375,0.5068421462529317,0.5075123978570644,0.5058216324726198,0.5054799439856498,0.5062413673200405,0.48131207073680143,0.48098338272851987,0.48158393975803687,0.43399375067961043,0.4334146701666158,0.4344773768839147,0.4787487851304547,0.4782152716277414,0.47916864623538075,0.43195149916603326,0.431604104781986,0.43232699322008106
Gap-Closing,10,0.5132247390885357,0.5128970569245309,0.5136860000578262,0.5124162456359987,0.5120477534548299,0.5128241019245371,0.4850262212410906,0.48465900583049454,0.4853484584571178,0.4321674536894742,0.43150924019398973,0.43274909767041503,0.481633888040298,0.4810952988792767,0.4820562187920048,0.4306004101639738,0.43022867869935716,0.4310610188314375
Gap-Closing,11,0.519205731111087,0.5188838312777455,0.5198047830705074,0.5190296202743161,0.5186136395796033,0.519462767270541,0.4887182826217307,0.48838437949911107,0.489027282931786,0.43038615477344466,0.4297009471830041,0.43093066109600586,0.48451995251140884,0.48394627844630717,0.4851192967454918,0.4292274242641301,0.4288203904212735,0.4295893775373081
Gap-Closing,12,0.5251559080168885,0.5247335533209639,0.5256832044777423,0.5256049777873886,0.5250752590094601,0.5260143469250964,0.49238958919669545,0.491983001629392,0.4927182405832297,0.42858691471394933,0.4279625314288375,0.4291285289058895,0.4874399682809233,0.48682089031988607,0.4881564938211184,0.4278808265301387,0.42736005664004556,0.4282930389108119
Gender & Child,0,0.45413930969986077,0.4541393096998609,0.4541393096998609,0.44665318244415764,0.44665318244415764,0.44665318244415764,0.44785200362117716,0.4478520036211772,0.4478520036211772,0.4505449397667346,0.45054493976673454,0.45054493976673454,0.4527179598584697,0.45271795985846963,0.45271795985846963,0.44421819971422105,0.44421819971422094,0.44421819971422094
Gender & Child,1,0.4590162516208576,0.45891095630092876,0.4591721893764118,0.45263640072044076,0.4524628317996965,0.452825420360336,0.45139187237151884,0.4512634945458478,0.45158405609951074,0.44855553718295305,0.44840791094658405,0.4486582516220971,0.455635315945263,0.45548561054490516,0.45578559879521247,0.4422410185009945,0.4420377098714946,0.4423697472927824
Gender & Child,2,0.4642919141813362,0.4640888164376309,0.4644770170725767,0.4589907370714153,0.4587392396391319,0.4591928828172446,0.45497334503518727,0.45475284829259993,0.4551538195479194,0.44655883902204546,0.44635027502484387,0.4467596976564007,0.4585837523054013,0.4584444591788622,0.4587479506838488,0.4402931124143607,0.44011035455051223,0.4404959123407942
Gender & Child,3,0.46956169721746005,0.469376238016912,0.4697779236999686,0.4653436431603972,0.46503742222290556,0.4656154869336591,0.45855044963687785,0.4582913201366553,0.45876031392017114,0.44458799325829246,0.44432113309634247,0.4448286486186977,0.46146453365827844,0.461232265224064,0.46169842475969575,0.438326529544146,0.4380999443677555,0.43861172607068954
Gender & Child,4,0.4748614076123336,0.4745897257096295,0.47519289970709583,0.47167060477780015,0.4713689383829786,0.47192408339706216,0.46215697099989506,0.4618334581893609,0.4624763220130832,0.4426293315843184,0.44235148190656526,0.4429078836487481,0.46440096874884523,0.46419101637130844,0.4646306319474288,0.4363619827649746,0.43605152393311825,0.43656858781487357
Gender & Child,5,0.4801008989110548,0.4797299534246367,0.48054134949323885,0.4779820810098995,0.4776869964838254,0.47831098551797674,0.46575754162908717,0.4655393485535823,0.46605169968770077,0.4406284961631046,0.4403453646073656,0.4409083669524795,0.4673147631069269,0.46700107724498413,0.4676321172049644,0.43439059337026975,0.4340425932571585,0.4346962784765351
Gender & Child,6,0.4853694055176936,0.4850324699216004,0.485804234410089,0.48436737031962174,0.4839692585293039,0.48481366369111006,0.4693312440895726,0.46896549806780286,0.46981330026195595,0.4386939465442608,0.438343079637233,0.43894497315876413,0.47020112714728424,0.4697844264338849,0.4705206509164744,0.4324220256805803,0.4320592669909917,0.43266558688562995
